id,name,value,config,category_id
1,Cash,cash,badge bg-info,1
2,Credit,credit,badge bg-primary,1
3,Link,link,badge bg-success,1
4,Others,others,badge bg-warning,1
5,Pending,pending,badge bg-info,2
6,Paid,paid,badge bg-success,2
7,Pending,pending,badge bg-info,3
8,Reviewed,reviewed,badge bg-primary,3
9,Declined,declined,badge bg-danger,3
10,Utilities,utilities,badge bg-info,4
11,Salon Supplies,salonSupplies,badge bg-primary,4
12,Beauty Products,beautyProducts,badge bg-success,4
13,Business Licensing,businessLicensing,badge bg-warning,4
14,Construction/Remodeling,constructionRemodeling,badge bg-info,4
15,Advertisement Expenses,advertisementExpenses,badge bg-primary,4
16,Professional Services,professionalServices,badge bg-success,4
17,Office Supplies,officeSupplies,badge bg-warning,4
18,Travel and Transportation,travelTransportation,badge bg-info,4
19,Miscellaneous,miscellaneous,badge bg-primary,4
20,Sanad,sanad,badge bg-info,5
21,Laura,laura,badge bg-primary,5
22,Other,other,badge bg-success,5
23,10% Discount,10,,8
24,15% Discount,15,,8
25,25% Discount,25,,8
26,30%  Discount,30,,8
27,50%  Discount,50,,8
28, Default, Ddefault Terms,,6
28, None, No Terms,,6
28, Custom, Custom Terms,,6

29,Wire Transfer,wireTransfer,badgeBgInfo,7
30,Mobile Payment,mobilePayment,badgeBgPrimary,7
31,Online Banking,onlineBanking,badgeBgSuccess,7
32,In-Store Credit,inStoreCredit,badgeBgWarning,7
33,Partial Payment,partialPayment,badgeBgInfo,2
34,Overdue,overdue,badgeBgDanger,2
35,Refunded,refunded,badgeBgSuccess,3
36,Chargeback,chargeback,badgeBgDanger,3
37,Recurring,recurring,badgeBgPrimary,3

38,Hair Care,hairCare,badgeBgInfo,14
39,Skin Care,skinCare,badgeBgPrimary,14
40,Nail Services,nailServices,badgeBgSuccess,14
41,Makeup,makeup,badgeBgWarning,14
42,Spa and Massage,spaAndMassage,badgeBgInfo,14
43,Fragrances,fragrances,badgeBgPrimary,18
44,Accessories,accessories,badgeBgSuccess,18
45,Tools and Equipment,toolsAndEquipment,badgeBgWarning,18

46,Email Marketing,emailMarketing,badgeBgInfo,20
47,Social Media,socialMedia,badgeBgPrimary,20
48,Referral Program,referralProgram,badgeBgSuccess,20
49,Print Advertising,printAdvertising,badgeBgWarning,20
50,Online Reviews,onlineReviews,badgeBgInfo,34
51,Client Surveys,clientSurveys,badgeBgPrimary,34
52,Word of Mouth,wordOfMouth,badgeBgSuccess,34
53,Client Testimonials,clientTestimonials,badgeBgWarning,34

54,Cleaning and Maintenance,cleaningAndMaintenance,badgeBgInfo,16
55,Utilities and Bills,utilitiesAndBills,badgeBgPrimary,16
56,Rent and Lease,rentAndLease,badgeBgSuccess,16
57,Insurance,insurance,badgeBgWarning,16
58,Staff Training,staffTraining,badgeBgInfo,16
59,Technology and Software,technologyAndSoftware,badgeBgPrimary,16
60,Legal and Compliance,legalAndCompliance,badgeBgSuccess,16
61,Community Events,communityEvents,badgeBgWarning,30
62,Charity and Donations,charityAndDonations,badgeBgInfo,30

63,Manager,manager,badgeBgInfo,33
64,Senior Stylist,seniorStylist,badgeBgPrimary,33
65,Junior Stylist,juniorStylist,badgeBgSuccess,33
66,Apprentice,apprentice,badgeBgWarning,33
67,Receptionist,receptionist,badgeBgInfo,33
68,Cleaner,cleaner,badgeBgPrimary,33
69,Marketing Specialist,marketingSpecialist,badgeBgSuccess,33
70,HR Manager,hrManager,badgeBgWarning,33

71,Waiting Area Amenities,waitingAreaAmenities,badgeBgInfo,39
72,Appointment Reminder,appointmentReminder,badgeBgPrimary,39
73,Loyalty Program,loyaltyProgram,badgeBgSuccess,39
74,Personalized Consultation,personalizedConsultation,badgeBgWarning,39
75,Aftercare Support,aftercareSupport,badgeBgInfo,39
76,Online Booking,onlineBooking,badgeBgPrimary,39
77,Mobile App Access,mobileAppAccess,badgeBgSuccess,39
78,Virtual Consultation,virtualConsultation,badgeBgWarning,39

79,Interior Design Theme,interiorDesignTheme,badgeBgInfo,31
80,Music and Audio,musicAndAudio,badgeBgPrimary,31
81,Aromatherapy,aromatherapy,badgeBgSuccess,31
82,Lighting Ambiance,lightingAmbiance,badgeBgWarning,31
83,Art and Decor,artAndDecor,badgeBgInfo,31
84,Refreshment Options,refreshmentOptions,badgeBgPrimary,31
85,Privacy and Space,privacyAndSpace,badgeBgSuccess,31
86,Eco-Friendly Practices,ecoFriendlyPractices,badgeBgWarning,31

87,Bridal Packages,bridalPackages,badgeBgInfo,15
88,Wellness Retreats,wellnessRetreats,badgeBgPrimary,15
89,Anti-Aging Treatments,antiAgingTreatments,badgeBgSuccess,15
90,Organic Treatments,organicTreatments,badgeBgWarning,15
91,Exclusive Product Line,exclusiveProductLine,badgeBgInfo,15
92,Customized Skin Care,customizedSkinCare,badgeBgPrimary,15
93,Holistic Therapies,holisticTherapies,badgeBgSuccess,15
94,Advanced Hair Techniques,advancedHairTechniques,badgeBgWarning,15

95,Continuing Education,continuingEducation,badgeBgInfo,33
96,Professional Certification,professionalCertification,badgeBgPrimary,33
97,Team Building Activities,teamBuildingActivities,badgeBgSuccess,33
98,Health and Wellness Programs,healthAndWellnessPrograms,badgeBgWarning,33
99,Leadership Development,leadershipDevelopment,badgeBgInfo,33
100,Customer Service Training,customerServiceTraining,badgeBgPrimary,33
101,Product Knowledge,productKnowledge,badgeBgSuccess,33
102,Technical Skill Enhancement,technicalSkillEnhancement,badgeBgWarning,33
